db,model,language,timestamp,rows,em_old_mean,em_new_mean,ex_mean,em_changed_rows,path
INDIA_Economic_Census_Firms,deepseek_deepseek_v3_2,Bengali,20260318_030334,58,0.05172413793103448,0.05172413793103448,0.6379310344827587,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_deepseek_deepseek_v3_2/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali_evaluated.jsonl
INDIA_Economic_Census_Firms,deepseek_deepseek_v3_2,English,20260318_030334,59,0.05084745762711865,0.03389830508474576,0.7627118644067796,1,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_deepseek_deepseek_v3_2/INDIA_Economic_Census_Firms_text2sql_20260318_030334_evaluated.jsonl
INDIA_Economic_Census_Firms,deepseek_deepseek_v3_2,Hindi,20260318_030334,59,0.06779661016949153,0.0,0.7627118644067796,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_deepseek_deepseek_v3_2/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi_evaluated.jsonl
INDIA_Economic_Census_Firms,deepseek_deepseek_v3_2,Hinglish,20260318_030334,59,0.05084745762711865,0.01694915254237288,0.7288135593220338,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_deepseek_deepseek_v3_2/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hinglish_evaluated.jsonl
INDIA_Economic_Census_Firms,deepseek_deepseek_v3_2,Marathi,20260318_030334,58,0.05172413793103448,0.017241379310344827,0.6206896551724138,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_deepseek_deepseek_v3_2/INDIA_Economic_Census_Firms_text2sql_20260318_030334_marathi_evaluated.jsonl
INDIA_Economic_Census_Firms,deepseek_deepseek_v3_2,Tamil,20260318_030334,59,0.01694915254237288,0.05084745762711865,0.7288135593220338,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_deepseek_deepseek_v3_2/INDIA_Economic_Census_Firms_text2sql_20260318_030334_tamil_evaluated.jsonl
INDIA_Economic_Census_Firms,deepseek_deepseek_v3_2,Telugu,20260318_030334,55,0.09090909090909091,0.03636363636363636,0.6909090909090909,3,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_deepseek_deepseek_v3_2/INDIA_Economic_Census_Firms_text2sql_20260318_030334_telugu_evaluated.jsonl
INDIA_Economic_Census_Firms,meta_llama_llama_3_3_70b_instruct,Bengali,20260318_030334,58,0.05172413793103448,0.05172413793103448,0.43103448275862066,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_meta_llama_llama_3_3_70b_instruct/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali_evaluated.jsonl
INDIA_Economic_Census_Firms,meta_llama_llama_3_3_70b_instruct,English,20260318_030334,59,0.0847457627118644,0.03389830508474576,0.6271186440677966,3,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_meta_llama_llama_3_3_70b_instruct/INDIA_Economic_Census_Firms_text2sql_20260318_030334_evaluated.jsonl
INDIA_Economic_Census_Firms,meta_llama_llama_3_3_70b_instruct,Hindi,20260318_030334,59,0.05084745762711865,0.01694915254237288,0.6779661016949152,2,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_meta_llama_llama_3_3_70b_instruct/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi_evaluated.jsonl
INDIA_Economic_Census_Firms,meta_llama_llama_3_3_70b_instruct,Hinglish,20260318_030334,59,0.05084745762711865,0.01694915254237288,0.576271186440678,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_meta_llama_llama_3_3_70b_instruct/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hinglish_evaluated.jsonl
INDIA_Economic_Census_Firms,meta_llama_llama_3_3_70b_instruct,Marathi,20260318_030334,58,0.034482758620689655,0.017241379310344827,0.43103448275862066,3,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_meta_llama_llama_3_3_70b_instruct/INDIA_Economic_Census_Firms_text2sql_20260318_030334_marathi_evaluated.jsonl
INDIA_Economic_Census_Firms,meta_llama_llama_3_3_70b_instruct,Tamil,20260318_030334,59,0.03389830508474576,0.05084745762711865,0.5932203389830508,5,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_meta_llama_llama_3_3_70b_instruct/INDIA_Economic_Census_Firms_text2sql_20260318_030334_tamil_evaluated.jsonl
INDIA_Economic_Census_Firms,meta_llama_llama_3_3_70b_instruct,Telugu,20260318_030334,55,0.09090909090909091,0.03636363636363636,0.5454545454545454,3,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_meta_llama_llama_3_3_70b_instruct/INDIA_Economic_Census_Firms_text2sql_20260318_030334_telugu_evaluated.jsonl
INDIA_Economic_Census_Firms,minimax_minimax_m2_7,Bengali,20260318_030334,58,0.08620689655172414,0.05172413793103448,0.6206896551724138,6,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_minimax_minimax_m2_7/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali_evaluated.jsonl
INDIA_Economic_Census_Firms,minimax_minimax_m2_7,English,20260318_030334,59,0.0847457627118644,0.0847457627118644,0.7627118644067796,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_minimax_minimax_m2_7/INDIA_Economic_Census_Firms_text2sql_20260318_030334_evaluated.jsonl
INDIA_Economic_Census_Firms,minimax_minimax_m2_7,Hindi,20260318_030334,59,0.05084745762711865,0.01694915254237288,0.7627118644067796,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_minimax_minimax_m2_7/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hindi_evaluated.jsonl
INDIA_Economic_Census_Firms,minimax_minimax_m2_7,Hinglish,20260318_030334,59,0.05084745762711865,0.05084745762711865,0.711864406779661,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_minimax_minimax_m2_7/INDIA_Economic_Census_Firms_text2sql_20260318_030334_hinglish_evaluated.jsonl
INDIA_Economic_Census_Firms,minimax_minimax_m2_7,Marathi,20260318_030334,58,0.05172413793103448,0.017241379310344827,0.5517241379310345,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_minimax_minimax_m2_7/INDIA_Economic_Census_Firms_text2sql_20260318_030334_marathi_evaluated.jsonl
INDIA_Economic_Census_Firms,minimax_minimax_m2_7,Tamil,20260318_030334,59,0.05084745762711865,0.05084745762711865,0.6779661016949152,6,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_minimax_minimax_m2_7/INDIA_Economic_Census_Firms_text2sql_20260318_030334_tamil_evaluated.jsonl
INDIA_Economic_Census_Firms,minimax_minimax_m2_7,Telugu,20260318_030334,55,0.09090909090909091,0.05454545454545454,0.6545454545454545,4,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_minimax_minimax_m2_7/INDIA_Economic_Census_Firms_text2sql_20260318_030334_telugu_evaluated.jsonl
INDIA_Economic_Census_Firms,qwen_qwen3_8b,Bengali,20260318_030334,58,0.05172413793103448,0.034482758620689655,0.39655172413793105,3,/Users/aviraldawar/Desktop/Text2SQLResearch/IndicDB/output/INDIA_Economic_Census_Firms/eval_files_oneshot_qwen_qwen3_8b/INDIA_Economic_Census_Firms_text2sql_20260318_030334_bengali_evaluated.jsonl
